Brand;Line;Name;Type;Color;Swabbed;Used;Comment;Private Comment;Archived;Usage
Akkerman;"";#08 Diep-Duinwaterblauw;bottle;#3f617a;false;true;"";;false;0
Akkerman;"";#11 Treves Turquoise;bottle;#1fbdf9;false;true;"";"";false;0
Blackstone;"";Barrier Reef Blue;bottle;#1350ca;false;true;"";"";false;1
Blackstone;"";Black Stump;sample;#1a1f2a;false;false;"";;false;0
Blackstone;"";Blue Gum;sample;#156473;false;false;scented;;false;0
Blackstone;"";Daintree Green;bottle;#00532d;false;true;"";"";false;1
Blackstone;"";Lemur Lime;bottle;#89b94b;false;false;"";"";false;0
Blackstone;"";Sydney Harbour Blue;bottle;#253a67;false;false;"";"";false;0
Callifolio;"";Andrinople;sample;#de4d9a;false;false;"";"";false;0
Callifolio;"";Grenat;sample;#872d5c;false;false;"";"";false;0
Callifolio;"";Inti;sample;#9f6a23;false;false;"";"";false;0
Callifolio;"";Mediterranée;sample;#2467a3;false;false;"";"";false;0
Callifolio;"";Olifants;sample;#447580;false;false;"";"";false;0
Callifolio;"";Olivastre;sample;#3c613c;false;true;"";"";false;1
Callifolio;"";Sépia;sample;#a66a49;false;false;"";"";false;0
Caran d'Ache;"";Divine Pink;sample;#d91169;false;false;"";;false;0
Colorverse;"";Andromeda;sample;#b04c83;false;false;"";;false;0
ColorVerse;"";#12 Crystal Planet;bottle;#1995ed;false;false;"";"";false;0
ColorVerse;"";Gravity Wave;bottle;#0f7f88;false;true;"";"";false;0
ColorVerse;"";Hustle;bottle;#27a8ad;false;true;"";"";false;1
ColorVerse;"";Passion;bottle;#193ba3;false;true;"";"";false;0
ColorVerse;Project;001 Shiny Black (Glistening);sample;#272526;false;false;"";"";false;0
ColorVerse;Project;002 Bluish Green;sample;#20454f;false;false;"";"";false;0
ColorVerse;Project;003 Deep Purple;sample;#55137c;false;false;"";"";false;0
ColorVerse;Project;004 Dirty Red;sample;#83171c;false;true;"";"";false;1
ColorVerse;Project;005 Milky Lavender;sample;#8f21bf;false;false;"";"";false;0
ColorVerse;Project;007 Clear Cyan;sample;#9aecff;false;false;"";"";false;0
ColorVerse;Project;008 Ornament Yellow (Glistening);sample;#fbd515;false;true;"";"";false;1
Diamine;"";Apple Glory;sample;#23c644;false;false;"";;false;0
Diamine;"";Arctic Blue;sample;#1395c9;false;false;shimmer;;false;0
Diamine;"";Autumn Oak;sample;#d85929;false;false;"";;false;0
Diamine;"";Bilberry;sample;#522092;false;false;"";;false;0
Diamine;"";Blue Velvet;bottle;#1b28a1;false;true;"";;false;1
Diamine;"";Earl Grey;sample;#737c91;false;false;"";;false;0
Diamine;"";Oxblood;sample;#a8221e;false;false;"";;false;0
Diamine;"";Purple Pazzazz;sample;#60406e;false;false;shimmer;;false;0
Diamine;"";Sherwood Green;sample;#0f4f26;false;false;"";;false;0
Diamine;Inkvent 2019;Gold Star;bottle;#deb945;false;false;"";"";false;0
Diamine;Inkvent 2019;Jack Frost;bottle;#304ca7;false;true;"";"";false;1
Diamine;Inkvent 2019;Poinsettia;bottle;#6A272B;false;true;"";"";false;0
Jacques Herbin;Les Essentielles;Bleu Austral;sample;#2d7893;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Bleu de Minuit;sample;#1a35c0;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Gris de Houle;sample;#a3a1aa;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Orange Soliel;sample;#f79907;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Rouge d'Orient;sample;#c72f4a;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Vert Amazone;sample;#0ca41f;false;false;"";"";false;0
Jacques Herbin;Les Essentielles;Violet Boréal;sample;#8b56c9;false;false;"";"";false;0
