Brand;Line;Name;Type;Color;Swabbed;Used;Comment;Private Comment;Archived;Usage
Akkerman;"";#05 Shocking Blue;bottle;#263ea5;true;false;"";;false;0
Akkerman;"";#05 Shocking Blue;sample;#263fa5;true;false;"";;false;0
Akkerman;"";#07 KoninginneNachBlauw;sample;#5a709a;true;false;"";;false;0
Akkerman;"";#08 Diep-Duinwaterblauw;sample;#3d5e7a;true;false;"";;false;0
Akkerman;"";#11 Treves Turquoise;sample;#0ebafe;true;false;"";;false;0
Akkerman;"";#13 Simplisties Violet;sample;#55276d;true;false;"";;false;0
Akkerman;"";#16 Oranje Boven;sample;#fd5432;true;false;"";;false;0
Akkerman;"";#18 Garuda Rood;sample;#d42c44;true;false;"";;false;0
Akkerman;"";#19 Rood Haags Pluche;sample;#f01942;true;false;"";;false;0
Akkerman;"";#20 Pulchri Pink;bottle;#f81784;true;true;"";;false;0
Akkerman;"";#22 Hopjesbruin;sample;#e1722a;true;false;"";;false;0
Akkerman;"";#26 Groenmarkt Smaragd;sample;#3f8368;true;false;"";;false;0
Akkerman;"";#28 Hofkwartier Groen;sample;#73dd42;true;false;"";;false;0
Akkerman;"";Gourmet Pens Pink;sample;#e98aa3;true;false;"";"";false;0
Birmingham Pen Company;"";Ebenezer Denny Carmine;sample;#a93e3e;true;false;"";;false;0
Birmingham Pen Company;"";Schenley Casino Cornflower;sample;#2c8cb6;true;false;"";;false;0
Blackstone;"";Barrister Blue;bottle;#202565;true;false;"";;false;0
Blackstone;"";Blue Cypress;bottle;#135f5e;true;false;"";"";false;0
Blackstone;"";Lemur Lime;sample;#8aba4c;true;false;"";"";false;0
Bungubox;"";4B;bottle;#3d4c68;true;false;"";"";false;0
Bungubox;"";Fujiyama Blue;bottle;#23a2c3;true;false;"";"";false;0
Bungubox;"";Ink of the Witch;bottle;#3f274d;true;true;"";"";false;0
Bungubox;"";Sweet Potato Purple;bottle;#a73097;true;false;"";"";false;0
Bungubox;Zodiac;Aries;bottle;#de0f0f;true;false;"";;false;0
Colorverse;"";Alpha Centauri;bottle;#21732b;true;false;"";"";false;0
Colorverse;"";Andromeda;bottle;#b04c83;true;true;"";"";false;1
Colorverse;"";Andromeda Glistening;bottle;#9708a8;true;false;"";"";false;0
Colorverse;"";Anita;bottle;#c5819a;true;false;5 mL bottle;"";false;0
Colorverse;"";Anti-Matter;sample;#8e8d96;true;false;"";;false;0
